CURRENT_DEPARTMENT,CURRENT_JOB_TITLE,PREVIOUS_DEPARTMENT,PREVIOUS_JOB_TITLE,COURSE,DATE,SKILL
Commercial Support Department,Business Services Internal Collection Senior Professional,,Business Services Internal Collection  Team Member,"Work Smarter, Not Harder: Time Management for Personal & Professional Productivity",2021-12-18T14:17:39.000Z,
Technology and Digital Innovation,System Administrator Senior Professional,,System Administrator Team Member,"Cloud Virtualization, Containers and APIs",2023-07-31T06:13:56.000Z,
Engineering,Enterprise Solutions Network Division Leader,Engineering,Transmission Enterprise solutions Engineer,Getting Started with Leadership,2023-10-04T15:49:19.000Z,
Consumer Business,Sales Development Account Senior Professional,Consumer Business,Sales Development Account Manager PR,Managing Data Analysis,2021-08-31T18:39:36.000Z,
Consumer Business,Special Project Account Professional,Consumer Business,Special Project Account Manager TM,Research Report: Delivering Insights,2023-06-19T09:09:44.000Z,
Engineering,RAN Optimization Engineer Specialist,Engineering,RAN Optimization Engineer,"Capstone: Retrieving, Processing, and Visualizing Data with Python",2022-12-20T07:10:18.000Z,
Commercial Support Department,Mobile Solutions & Zain Wallets Complaints Professional,Commercial Support Department,Help Desk GSM Professional,Teamwork Skills: Communicating Effectively in Groups,2023-10-02T21:48:36.000Z,
Engineering,RAN Optimization Engineer Senior Professional,Engineering,RAN Optimization Engineer,Finance for Non-Financial Professionals,2023-11-05T12:39:35.000Z,
Commercial Support Department,Delivery & Back Office Support Senior Team Member,Commercial Support Department,Customer Service Advisor AT,"Everyday Excel, Part 1",2023-06-13T19:17:35.000Z,
Engineering,RAN Implementation Engineer Specialist,Engineering,RAN Implementation Engineer,Digital Transformation,2023-06-08T07:56:36.000Z,
Finance,Subsidiaries & Tax Team Member,Finance,Accounts Receivable Team Member,Competitive Strategy,2021-11-12T20:16:36.000Z,
Commercial Support Department,Consumer Services Collection Senior Team Member,Commercial Support Department,Consumer Services Collection Team Member,Excel Fundamentals for Data Analysis,2022-03-10T10:19:26.000Z,
Data Analytics & AI,,Data Analytics & AI,Data Acquisition Team Member,Introduction to Digital Marketing,2021-11-10T11:41:36.000Z,
Corporate Communications and Sustainability,Sponsorship Team Member,Corporate Communications and Sustainability,Sponsorship Team Member,Project Initiation: Starting a Successful Project,2022-09-14T02:00:29.000Z,
Corporate Communications and Sustainability,CER Team Member,,CER Team Member /Zinc,Business English: Meetings,2021-11-20T11:53:56.000Z,
Commercial Support Department,Support & Quality Unit Senior Team Member,Commercial Support Department,Support Unit Team Member,Data Visualization in Excel,2022-08-13T13:58:17.000Z,
Engineering,NOC Shift Senior Professional,,NOC Operator,Negotiation  Fundamentals,2022-01-10T12:28:39.000Z,
Human Resources and Administration,Talent Acquisition Senior Professional,Human Resources and Administration,Talent Acquisition Professional,Managing Talent,2022-08-02T14:15:04.000Z,
Consumer Business,VIP Accounts (Darak) Senior Professional,Consumer Business,VIP Accounts Manager (Darak),Introduction to Data Analytics,2021-10-20T06:02:20.000Z,
Engineering,FTTH Activation Engineer Senior Team Member,,FTTH Activation Engineer PT,Research Report: Delivering Insights,2023-06-23T04:57:55.000Z,
Human Resources and Administration,HR Communications and Youth Team Member,Human Resources and Administration,HR Communications and Youth Team Member,Effective Communication Capstone Project,2022-11-20T12:55:11.000Z,
Technology and Digital Innovation,Enterprise Applications Senior Specialist,,CRM & Business Analyst Expert,Agile Leader Training,2022-08-25T14:24:44.000Z,
Commercial Support Department,Enterprise & Home Internet Complaints Engineer Team Member,,Help Desk Broadband Team Member AT,"Work Smarter, Not Harder: Time Management for Personal & Professional Productivity",2022-06-24T19:05:16.000Z,
Enterprise Business,Managed Services Senior Division Leader,Enterprise Business,Network Administrator TM,Introduction to Data Analytics,2021-08-17T13:55:33.000Z,
Data Analytics & AI,Data Scientist & AI Division Leader,Data Analytics & AI,Data Scientist & AI Professional PR,Fundamentals of Project Planning and Management,2021-09-29T20:48:17.000Z,
Consumer Business,Sales Development Account Professional,Consumer Business,Sales Development Account Manager PR,Digital Channel Planning and E-Commerce Strategy,2023-05-29T07:12:33.000Z,
"Governance, Risk, and Compliance",Internal Investigations Team Member,"Governance, Risk, and Compliance",Internal Investigations TM,Better Business Writing in English,2023-05-16T09:46:23.000Z,
Engineering,RAN Optimization Engineer Specialist,Engineering,RAN Optimization Engineer,Python Data Structures,2022-12-04T12:37:46.000Z,
Corporate Communications and Sustainability,CER Annual Team Member,Corporate Communications and Sustainability,CER Team Member AT,Adaptability and Resiliency,2023-05-11T15:05:32.000Z,
Engineering,RAN Optimization Engineer Team Member,Engineering,RAN Optimization Engineer,Using Databases with Python,2022-12-19T19:33:05.000Z,
Commercial Support Department,Legal Collection Senior Team Member,Commercial Support Department,Legal Collection Team Member,Presentation skills: Speechwriting and Storytelling,2022-04-12T17:03:27.000Z,
Engineering,RAN Optimization Engineer Professional,Engineering,RAN Optimization Engineer,Programming for Everybody (Getting Started with Python),2022-11-28T11:54:03.000Z,
Commercial Support Department,Consumer Services Collection Senior Division Leader,Commercial Support Department,Consumer Services Collection Expert,Introduction to Data Analytics,2023-10-29T12:59:43.000Z,
Commercial Support Department,Enterprise & Home Internet Complaints Engineer Professional,Commercial Support Department,Help Desk Enterprise Helper Team Member,Graphic Design,2022-08-04T21:56:00.000Z,
Enterprise Business,Network Administrator Senior Team Member,Enterprise Business,Network Administrator TM,Fundamentals of Project Planning and Management,2023-09-22T18:33:28.000Z,
Commercial Support Department,Mobile Solutions & Zain Wallets Complaints Senior Professional,Commercial Support Department,Help Desk GSM Professional,Effective Communication Capstone Project,2022-08-24T00:35:41.000Z,
Commercial Support Department,Customer Complaints Executive Manager,Commercial Support Department,Help Desk Manager,Managing Customer Expectations with Jagdish Sheth,2023-06-08T08:27:16.000Z,
Commercial Support Department,Legal Collection Team Member,,Credit & Collection Consultant,ظ…ظ‡ط§ط±ط© ظ…ط®ط§ط·ط¨ط© ط§ظ„ط¬ظ…ظ‡ظˆط± | Public Speaking Skills,2023-05-16T17:31:55.000Z,
Corporate Communications and Sustainability,,Corporate Communications and Sustainability,CER Team Member AT,Business English: Meetings,2022-11-23T18:20:17.000Z,
Commercial Support Department,Mobile Solutions & Zain Wallets Complaints Team Member,Commercial Support Department,Help Desk Team Member,"Work Smarter, Not Harder: Time Management for Personal & Professional Productivity",2022-07-14T08:42:53.000Z,
Engineering,Performance & Quality Senior Division Leader,Engineering,Performance & Quality Team Leader,Data Visualization and Dashboards with Excel and Cognos,2021-09-22T10:09:52.000Z,
Human Resources and Administration,HR Operations Professional,Consumer Business,8th Circle Consumer Sales Consultant TM,Research Report: Delivering Insights,2023-07-12T09:14:44.000Z,
"Governance, Risk, and Compliance",,,Enterprise Risk Management Intern,Cyber Threat Intelligence,2021-09-11T03:57:09.000Z,
Human Resources and Administration,HR Communications and Youth Team Member,Human Resources and Administration,HR Communications and Youth Team Member,Data-Driven Decisions with Power BI,2023-08-20T07:20:36.000Z,
Enterprise Business,Network Administrator Senior Team Member,Enterprise Business,Network Administrator TM,Digital Transformation,2022-06-16T14:42:22.000Z,
Commercial Support Department,Workforce Management & Optimization Manager,Commercial Support Department,Help Desk GSM Team Leader,Adaptability and Resiliency,2023-07-11T16:15:31.000Z,
Commercial Support Department,Customer Intelligence Professional,Commercial Support Department,Customer Intelligence Professional,Getting Started with Power BI Desktop,2021-12-18T22:30:45.000Z,
Engineering,Transport and IP Network Senior Manager,Engineering,Transport and IP Network Manager,Inspiring and Motivating Individuals,2023-08-13T16:00:58.000Z,
Engineering,Business Excellence  Team Member,Engineering,RAN Maintenance Engineer,"Capstone: Retrieving, Processing, and Visualizing Data with Python",2022-12-27T06:33:00.000Z,
Engineering,RAN Configuration Professional,Engineering,RAN Configuration Professional,Forecasting Skills: See the Future Before it Happens,2022-03-02T12:57:12.000Z,
Finance,Procurement & Logistics Executive Manager,,Procurement and Logistics Manager,Competitive Strategy,2022-11-22T21:06:39.000Z,
,,Corporate Communications and Sustainability,CER Team Member,Ask Questions to Make Data-Driven Decisions,2022-06-22T21:08:05.000Z,
Finance,Financial Planning & Reporting / Consumer Specialist,,Management Accounting Team Member 1,Introduction to Data Analytics for Accounting Professionals,2023-07-12T19:21:26.000Z,
Engineering,RAN Optimization Engineer Professional,Engineering,RAN Optimization Engineer,Python Data Structures,2022-11-29T12:35:18.000Z,
Technology and Digital Innovation,CRM Systems Analyst & Developer Team Member,,CRM Analyst and Developer Intern,Scrum Master Certification: Scrum Methodologies,2023-10-29T17:40:23.000Z,
Commercial Support Department,Commercial Support & Quality Of Service Senior Team Member,Commercial Support Department,Commercial Support & Quality Of Service Team Member,Introduction to Data Analytics,2023-09-29T21:53:09.000Z,
Finance,Cash Management Specialist,,Cash Management  Team Member,Fundamentals of Project Planning and Management,2023-07-14T20:49:18.000Z,
Engineering,RAN Maintenance Engineer Senior Team Member,Engineering,RAN Maintenance Engineer,Programming for Everybody (Getting Started with Python),2022-11-17T06:07:55.000Z,
Enterprise Business,Enterprise Sales Senior Manager,Enterprise Business,Key Account's Sales Manager E,Introduction to Business Analytics: Communicating with Data ,2023-07-27T02:44:14.000Z,
Engineering,FTTH Activation Engineer Senior Team Member,,FTTH Activation Engineer PT,Collaborative Foresight: How to Game the Future,2022-04-14T17:07:49.000Z,
Commercial Support Department,Mobile Solutions & Zain Wallets Complaints Professional,Commercial Support Department,Help Desk GSM Professional,Successful Presentation,2022-06-13T23:29:40.000Z,
Technology and Digital Innovation,Enterprise Applications PT,,CRM Analyst and Developer Intern,Introduction to Data Analytics,2023-01-25T05:46:06.000Z,
Engineering,RAN IBS Senior Division Leader,Engineering,RAN IBS Team Leader,Introduction to Data Analytics,2022-10-18T01:05:15.000Z,
Enterprise Business,Key Account's Team Member,Enterprise Business,Sales Back Office TM,Just Reading and Writing English 2,2022-09-27T06:14:07.000Z,
Technology and Digital Innovation,RPA Developer Team Member,Technology and Digital Innovation,RPA Developer,Getting started with Flutter Development,2023-10-24T09:38:20.000Z,
,,,CVM & Base Management Team Member,Machine Learning for Data Analysis,2022-10-02T00:30:40.000Z,
Data Analytics & AI,Data Architecture & Governance Division Leader,Technology and Digital Innovation,Integration Team Member,Fundamentals of Project Planning and Management,2022-07-30T10:12:45.000Z,
Commercial Support Department,Customer Service Solutions Development Senior Team Member,Commercial Support Department,Operation Planning and Development Team Member,Graphic Design,2022-05-27T22:30:33.000Z,
Commercial Support Department,Knowledge and Training Team Member,Commercial Support Department,Telesales Team Member AT,"Work Smarter, Not Harder: Time Management for Personal & Professional Productivity",2023-08-27T06:01:52.000Z,
"Governance, Risk, and Compliance",,,Enterprise Risk Management Intern,Systems and Application Security,2021-11-25T09:45:12.000Z,
Engineering,IP & Enterprise Tower Technician Senior Professional,,RAN Technician,"Speak English Professionally: In Person, Online & On the Phone",2023-09-07T12:55:10.000Z,
Commercial Support Department,Mobile Solutions & Zain Wallets Complaints Team Member,Commercial Support Department,Help Desk Team Member,Effective Communication Capstone Project,2022-08-29T16:46:20.000Z,
"Governance, Risk, and Compliance",,"Governance, Risk, and Compliance",Business Excellence Team Member TM,Data-Driven Decisions with Power BI,2023-06-05T06:04:16.000Z,
Engineering,RAN Configuration Professional,Engineering,RAN Configuration Professional,"Ready, Set, Future! Introduction to Futures Thinking",2022-02-23T05:41:16.000Z,
,Enterprise Applications Intern,,,Linux Fundamentals,2024-01-10T07:58:34.000Z,
Engineering,Backbone & Optical Network Team Member,Engineering,Backbone & Optical Network Team Member,Finance for Non-Financial Professionals,2023-09-12T14:06:23.000Z,
Commercial Support Department,Collection Account's Team Member,Commercial Support Department,Collection Account's Manager,"Work Smarter, Not Harder: Time Management for Personal & Professional Productivity",2022-04-24T23:20:42.000Z,
Enterprise Business,Key Account's Specialist,Enterprise Business,Key Account's Manager TM,Digital Transformation,2022-03-26T21:38:15.000Z,
Consumer Business,Service Quality and Knowledge Management Specialist,Consumer Business,Service Quality and Knowledge Management Technical Team Leader,Introduction to Data Analytics,2021-08-31T17:46:00.000Z,
Engineering,,Engineering,RAN Optimization Engineer,Using Databases with Python,2022-12-26T12:06:58.000Z,
Engineering,Regional Maintenance Division Leader,Engineering,Regional Telecom Engineer,Programming for Everybody (Getting Started with Python),2022-12-26T21:16:12.000Z,
,CER Intern,,,Entrepreneurship Strategy: From Ideation to Exit,2023-11-30T04:03:14.000Z,
Commercial Support Department,Enterprise & Home Internet Complaints Engineer Team Member,Commercial Support Department,Help Desk Broadband Team Member,Successful Presentation,2022-07-26T22:35:23.000Z,
Engineering,RAN Maintenance Engineer Senior Team Member,Engineering,RAN Maintenance Engineer,Using Databases with Python,2022-12-16T21:20:29.000Z,
Consumer Business,Down Town Consumer Sales Consultant Team Member,,SmartBuy Consumer Sales Consultant PT,Introduction to Data Analytics,2022-01-29T13:55:05.000Z,
Technology and Digital Innovation,RPA Development Division Leader,Technology and Digital Innovation,RPA Developer,Exploratory Data Analysis for Machine Learning,2022-11-11T22:10:21.000Z,
Enterprise Business,Key Account's Team Member,Enterprise Business,Sales Back Office TM,Conversational English Skills,2022-09-11T09:58:48.000Z,
Consumer Business,Regional Sales (East Amman)  Senior Manager,Consumer Business,Regional Sales Manager (South),Managing Data Analysis,2022-10-20T09:01:36.000Z,
Commercial Support Department,Consumer Services Collection Senior Team Member,Commercial Support Department,Consumer Services Collection Team Member,Introduction to Data Analytics,2023-11-09T08:40:01.000Z,
Finance,Revenue Assurance Senior Team Member,Finance,Revenue Assurance Team Member,Personality Types at Work,2021-11-10T21:36:03.000Z,
Human Resources and Administration,"Diversity, Equity, and inclusion Team Member",,Organizational Development Team Member AT,Agile Leader Training,2022-11-04T19:24:01.000Z,
Commercial Support Department,Enterprise & Home Internet Complaints Engineer Team Member,Commercial Support Department,Help Desk Enterprise Helper Team Member TM,Graphic Design,2022-07-25T07:18:42.000Z,
Consumer Business,Pricing and Business Planning Division Leader,Consumer Business,Pricing & Business Intelligence Team Member,Quantitative Methods in Finance,2022-01-23T07:58:37.000Z,
Engineering,Enterprise Business Development Analyst - Professional,Engineering,Project Implementation Civil Engineer TM,Urgent Optimism: How to Turn Foresight into Action,2022-08-18T03:35:31.000Z,
Technology and Digital Innovation,Front End Developer Team Member,,Service Delivery Intern,Object-Oriented Design,2022-11-22T22:34:19.000Z,
Consumer Business,UX/UI Division  Leader,Consumer Business,UX/UI Team Leader TL,Foundations of Digital Marketing and E-commerce,2023-11-15T07:09:50.000Z,
Data Analytics & AI,,,Business Delivery Expert,Introduction to Data Analytics,2021-09-14T07:56:00.000Z,
Commercial Support Department,Enterprise & Home Internet Complaints Manager,Commercial Support Department,Help Desk Broadband Team Leader,Budgeting and Scheduling Projects,2022-06-21T09:47:24.000Z,
Human Resources and Administration,Security and Control Senior Team Member,Human Resources and Administration,Security and Control Team Member,Business English: Basics,2022-05-13T10:12:58.000Z,
Finance,Fraud Analyst Senior Team Member,Finance,Fraud Analyst Team Member,Data Analysis with Python,2022-10-20T13:07:09.000Z,
Finance,Accounts Payable Senior Division Leader,Finance,Accounts Payable Team Leader TL,Overview of Advanced Methods of Reinforcement Learning in Finance,2023-05-10T08:37:46.000Z,
Enterprise Business,Enterprise Marketing Solutions Professional,Enterprise Business,Enterprise Marketing Solutions Professional, Storytelling in Branding and Content Marketing ,2023-09-30T21:11:30.000Z,
Consumer Business,City Mall Consumer Sales Consultant PT,Consumer Business,Galleria Mall Consumer Sales Consultant PT,Quantitative Methods in Finance,2021-11-22T13:45:09.000Z,
Engineering,Projects Implementation Team Member,Engineering,Projects Implementation Team Member,Using Databases with Python,2023-01-25T06:33:02.000Z,
Finance,Revenue Assurance and Fraud Senior Manager,Finance,Revenue Assurance Team Leader,Building Your Leadership Skills,2022-07-14T08:00:06.000Z,
Commercial Support Department,Collection Account's Senior Team Member,Commercial Support Department,Collection Account's Manager,Introduction to Data Analytics,2023-10-02T06:44:54.000Z,
Engineering,RAN Optimization Engineer Team Member,Engineering,RAN Optimization Engineer,"Capstone: Retrieving, Processing, and Visualizing Data with Python",2022-12-20T11:00:05.000Z,
Commercial Support Department,Telesales Complaints Management Senior Team Member,Commercial Support Department,Telesales Team Member,"Work Smarter, Not Harder: Time Management for Personal & Professional Productivity",2021-09-01T11:59:47.000Z,
Enterprise Business,Enterprise PMO & PD Senior Team Member,,Enterprise Business Simulation and PMO Team Member,Agile Leadership: Introduction to Change,2022-11-11T10:05:42.000Z,
Commercial Support Department,Telesales Support Division Leader,Commercial Support Department,Telesales Intelligence & Reporting Team Member,Excel Fundamentals for Data Analysis,2022-04-22T21:10:48.000Z,
Consumer Business,VIP Accounts (Darak) Senior Professional,Consumer Business,VIP Accounts Manager (Darak) PR,Introduction to Data Analytics,2022-11-21T15:34:54.000Z,
Commercial Support Department,Enterprise & Home Internet Complaints Engineer Senior Team Member,Commercial Support Department,Help Desk Enterprise Helper Team Member TM,Graphic Design,2022-07-11T22:48:10.000Z,
"Governance, Risk, and Compliance",,,Safeway 7th Circle Consumer Sales Consultant AT,Research Report: Delivering Insights,2023-06-13T11:50:02.000Z,
Engineering,Radio NOC Engineer Senior Team Member,,NOC Engineer,Negotiation  Fundamentals,2021-11-18T23:07:30.000Z,
Engineering,RAN Optimization Engineer PT,,RAN Optimization Intern,Sales and CRM Overview,2023-10-04T08:18:16.000Z,
Commercial Support Department,Telesales Division Leader,Commercial Support Department,Telesales Team Leader,Inspiring and Motivating Individuals,2023-11-15T00:18:12.000Z,
Consumer Business,POS's Accounts Specialist,Consumer Business,POS's Accounts Manager TLT,Financial Modeling,2021-11-11T10:12:31.000Z,
Consumer Business,Distribution & Business Development Senior Division Leader,Consumer Business,Distribution & Business Development Team Leader,Inspiring and Motivating Individuals,2023-10-01T14:30:58.000Z,
Engineering,Radio NOC Engineer Team Member,,NOC Engineer,Teamwork Skills: Communicating Effectively in Groups,2023-05-17T05:34:56.000Z,
Commercial Support Department,Enterprise & Home Internet Complaints Engineer Senior Team Member,Commercial Support Department,Help Desk Enterprise Helper Team Member TM,Business Writing,2022-06-24T23:58:03.000Z,
Finance,Cash Management Senior Team Member,,Cash Management  Team Member,Organizational Behavior: How to Manage People,2022-02-27T15:52:33.000Z,
Consumer Business,Prepaid MBB Senior Specialist,,Prepaid GSM & MBB Team Leader TLT,Managing Data Analysis,2022-10-30T16:56:48.000Z,
Enterprise Business,Key Account's Senior Team Member,Enterprise Business,Key Account's Manager TM,Mastering Data Analysis in Excel,2022-03-26T17:42:36.000Z,
Commercial Support Department,Mobile Solutions & Zain Wallets Complaints Professional,Commercial Support Department,Help Desk GSM Professional,Successful Presentation,2022-08-21T16:32:44.000Z,
Enterprise Business,Key Account's Sales Senior Manager,Enterprise Business,Key Account's Sales Manager M,Digital Transformation,2022-08-14T21:05:02.000Z,
Consumer Business,Tabrbour Consumer Sales Consultant Senior Team Member,Consumer Business,Tabrbour Consumer Sales Consultant,Introduction to Data Analytics,2021-11-20T15:27:01.000Z,
Commercial Support Department,Enterprise & Home Internet Complaints Engineer Team Member,Commercial Support Department,Help Desk Broadband Team Member,Successful Presentation,2022-08-04T12:39:13.000Z,
Corporate Communications and Sustainability,CER Team Member,,CER Team Member /Zinc,Fundamentals of Project Planning and Management,2023-10-02T16:06:09.000Z,
Enterprise Business,Key Account's Senior Team Member,Enterprise Business,Key Account's Manager TM,Business Metrics for Data-Driven Companies,2021-10-20T10:52:38.000Z,
Engineering,RAN Planning Engineer Senior Professional,,RAN  Planning  Engineer,Forecasting Skills: See the Future Before it Happens,2022-03-02T18:11:03.000Z,
Consumer Business,Special Project & New Channels Senior Division Leader,Consumer Business,Special Project & New Channels Manager TL,Foundations of Digital Marketing and E-commerce,2023-09-25T07:51:29.000Z,
Consumer Business,Mecca Mall Shop Senior Division Leader,Consumer Business,Safeway 7th Circle Shop Manager TL,Managing Data Analysis,2022-09-08T12:52:32.000Z,
Commercial Support Department,Quality Assurance Team Member,Commercial Support Department,Customer Service Technical Advisor-,Leading People and Teams Capstone,2023-07-19T15:52:28.000Z,
Engineering,Transmission Engineer Specialist,Engineering,Transmission Engineer TM,Negotiation  Fundamentals,2022-03-12T14:25:17.000Z,
,,,,Cybersecurity Compliance Framework & System Administration,2022-01-16T20:51:30.000Z,
Engineering,RAN Optimization Engineer Specialist,Engineering,RAN Optimization Engineer,Foundations of Project Management,2023-09-19T11:32:01.000Z,
Enterprise Business,Enterprise Business Simulation Specialist,Enterprise Business,Enterprise Presales Projects Team Leader,General Academic English,2022-10-12T05:13:12.000Z,
Technology and Digital Innovation,DevOps & Charging System Engineer Team Member,Commercial Support Department,Telesales Team Member PT,"Cloud Virtualization, Containers and APIs",2023-05-22T17:39:22.000Z,
Engineering,Core and VAS Manager,Engineering,Core Network Switching Team Leader-,Negotiation skills: Negotiate and resolve conflict,2022-08-21T07:42:37.000Z,
Commercial Support Department,Fiber Activation & Save Team Member - PT,Commercial Support Department,FTTH Activation Team Member PT,"Speak English Professionally: In Person, Online & On the Phone",2023-08-07T11:57:32.000Z,
Consumer Business,Retail Roaming & International Business Senior Specialist,Consumer Business,Retail Roaming & International Business Expert,Research Report: Delivering Insights,2023-10-01T06:03:50.000Z,
Commercial Support Department,Customer Intelligence Team Member,Commercial Support Department,Customer Service Advisor / Jerash Call Center PT,Adaptability and Resiliency,2023-08-20T16:22:31.000Z,
Enterprise Business,Key Account's Senior Team Member,Enterprise Business,Key Account's Manager TM,Business English: Meetings,2022-09-11T09:50:50.000Z,
Engineering,RAN Optimization Engineer PT,Engineering,RAN Optimization Engineer PT,Fundamentals of Project Planning and Management,2023-05-23T08:43:51.000Z,
,CER Intern,,,English for Effective  Business Writing,2023-11-13T07:21:19.000Z,
Enterprise Business,SMEs/SOHOs Account's Team Member,,SMEs/SOHOs  Account's Manager TM,Write Professional Emails in English,2021-11-08T16:18:00.000Z,
Commercial Support Department,Customer Intelligence Team Member,Commercial Support Department,Customer Service Advisor / Jerash Call Center PT,Excel Fundamentals for Data Analysis,2023-01-27T22:40:29.000Z,
Corporate Communications and Sustainability,CER Team Member,,CER Team Member /Zinc,English for Business and Entrepreneurship,2022-08-28T21:39:34.000Z,
Engineering,RAN Optimization Engineer PT,,RAN Optimization Intern,Using Python to Access Web Data,2022-12-25T15:29:01.000Z,
Finance,Technical Procurement Specialist,Finance,Procurement Team Member,Personality Types at Work,2022-05-25T11:42:04.000Z,
Commercial Support Department,Commercial Support & Quality Of Service Team Member,Commercial Support Department,Commercial Support & Quality Of Service Team Member,Graphic Design,2022-08-24T07:36:16.000Z,
Engineering,RAN Optimization Engineer Professional,Engineering,RAN Optimization Engineer,"Capstone: Retrieving, Processing, and Visualizing Data with Python",2022-12-19T10:07:25.000Z,
Commercial Support Department,Legal Collection Senior Team Member,Commercial Support Department,Legal Collection Team Member,Teamwork Skills: Communicating Effectively in Groups,2023-10-08T09:23:24.000Z,
Enterprise Business,Network Administrator Senior Team Member,Enterprise Business,Network Administrator TM,Global Financial Markets and Instruments,2024-01-06T10:16:45.000Z,
Consumer Business,Wholesale Roaming & Messaging Specialist,Consumer Business,Wholesale Roaming & Messaging Team Member,Data Visualization and Dashboards with Excel and Cognos,2022-05-04T18:30:37.000Z,
Engineering,Enterprise Mobile & Broadband Marketing Team Member,Engineering,Core Network Switching Engineer,"Speak English Professionally: In Person, Online & On the Phone",2023-09-27T16:32:32.000Z,
Engineering,FTTX Specialist,Engineering,Transmission Engineer Transport TM,Introduction to Data Analytics,2022-06-04T00:53:06.000Z,
Commercial Support Department,Commercial Support & Quality Of Service Senior Team Member,Commercial Support Department,Commercial Support & Quality Of Service Team Member,"Work Smarter, Not Harder: Time Management for Personal & Professional Productivity",2022-04-25T23:27:05.000Z,
Engineering,IP Network Senior Specialist,Engineering,IP Network Team Leader,"Speak English Professionally: In Person, Online & On the Phone",2023-09-14T18:28:29.000Z,
Human Resources and Administration,HR Operations Professional,Human Resources and Administration,HR Operations Professional,Getting Started with Power BI Desktop,2021-12-19T14:17:11.000Z,
Commercial Support Department,Customer Service Social Media  Advisor - PT,Commercial Support Department,Digital Care Team Member PT,Preparing to Manage Human Resources,2024-01-25T06:51:51.000Z,
Engineering,RAN Optimization Engineer Specialist,Engineering,RAN Optimization Engineer,Programming for Everybody (Getting Started with Python),2023-05-27T03:56:42.000Z,
Enterprise Business,Special Project Sales Manager / TT,Enterprise Business,Special Project Sales Manager,Digital Transformation,2021-11-03T07:52:11.000Z,
Enterprise Business,Handling & Distribution Analyst Senior Professional,Enterprise Business,Handling & Distribution Analyst Professional PR,"Speak English Professionally: In Person, Online & On the Phone",2022-08-20T05:39:45.000Z,
Technology and Digital Innovation,System Administrator Senior Professional,,System Administrator Team Member,Introduction to Large Language Models,2023-09-02T20:57:23.000Z,
Corporate Communications and Sustainability,CER Team Member,,CER Team Member /Zinc,What is Social?,2021-10-04T07:38:59.000Z,
,,Technology and Digital Innovation,DevOps & Billing Systems Engineer,"Cybersecurity Roles, Processes & Operating System Security",2022-02-27T14:44:02.000Z,
Enterprise Business,Key Account's Senior Team Member,Enterprise Business,Key Account's Manager TM,Introduction to Business Analytics: Communicating with Data ,2023-07-10T04:27:58.000Z,
Enterprise Business,Sales Back Office Senior Team Member,Enterprise Business,Sales Back Office TM,General Academic English,2022-09-14T06:28:16.000Z,
Commercial Support Department,Customer Service AI & Chatbot Solutions Senior Team Member,Commercial Support Department,Operation Planning and Development Team Member,Data Visualization in Excel,2022-09-10T20:07:43.000Z,
Commercial Support Department,Business Services Collection Manager,Commercial Support Department,Business Services Collection Team Leader,Excel Fundamentals for Data Analysis,2022-02-08T16:33:41.000Z,
Engineering,RAN Optimization Senior Division Leader,Engineering,RAN Optimization Team Leader,Using Python to Access Web Data,2022-12-28T12:45:26.000Z,
Engineering,RAN Planning Engineer Specialist,,RAN  Planning  Engineer,"Everyday Excel, Part 1",2023-03-13T08:06:30.000Z,
Commercial Support Department,Commercial Support & Contact Center Quality Of Service Division Leader,Commercial Support Department,Support Unit Team Member,Just Reading and Writing English 1,2022-07-14T14:34:02.000Z,
Human Resources and Administration,Day Care Center Assistant Senior Professional,Human Resources and Administration,Day Care Center Teacher,Teamwork Skills: Communicating Effectively in Groups,2023-06-07T09:38:30.000Z,
Enterprise Business,Connectivity & IoT Senior Division Leader,,Product Owners Team Member,Research Report: Delivering Insights,2023-07-08T17:22:24.000Z,
Commercial Support Department,Customer Service Operation Development & Analysis Specialist,Commercial Support Department,Operation Planning and Development Professional,Data Visualization in Excel,2022-09-27T08:11:56.000Z,
Engineering,FTTX Specialist,Engineering,Transmission Engineer Transport TM,Negotiation  Fundamentals,2022-06-05T05:17:19.000Z,
Finance,Fixed Assets and Inventory Division Leader,Finance,Fixed Assets and Inventory Team Leader ,Foundations of Project Management,2023-07-13T13:46:43.000Z,
Engineering,RAN Optimization Engineer PT,,RAN Optimization Intern,Getting Started with Power BI Desktop,2023-08-02T07:33:04.000Z,
Engineering,IP & Transport NOC Engineer Senior Team Member,,NOC Engineer,Negotiation  Fundamentals,2021-10-29T09:00:09.000Z,
Finance,Subsidiaries Division Leader,Finance,Accounts Receivable Team Member,Building Your Leadership Skills,2021-10-03T13:35:23.000Z,
Commercial Support Department,Mobile Solutions & Zain Wallets Complaints Professional,Commercial Support Department,Help Desk GSM Professional,Business Writing,2022-04-03T19:47:19.000Z,
Commercial Support Department,Work Force Management & Optimization Senior Specialist,Commercial Support Department,Operation Work Force Management Team Leader,Budgeting and Scheduling Projects,2021-08-03T07:15:03.000Z,
,,,,Fundamentals of Project Planning and Management,2022-11-09T20:28:55.000Z,
Human Resources and Administration,Day Care Center Teacher Senior Professional,Human Resources and Administration,Day Care Center Teacher,Enhance your Writing with Adverb Clauses,2023-07-14T23:35:35.000Z,
Human Resources and Administration,Day Care Center Teacher Senior Professional,Human Resources and Administration,Day Care Center Teacher,Take Your English Communication Skills to the Next Level,2021-12-11T09:16:58.000Z,
